test,ms,rc,cycles,instrs,i_cache_hit_pct,d_cache_hit_pct
rv32ui-p-add,2705,0,866,504,94.38,0.00
rv32ui-p-addi,2627,0,535,281,93.05,0.00
rv32ui-p-and,2665,0,875,524,94.77,0.00
rv32ui-p-andi,2592,0,447,237,93.41,0.00
rv32ui-p-auipc,2590,0,248,97,89.47,0.00
rv32ui-p-beq,2579,0,604,330,94.34,0.00
rv32ui-p-bge,2612,0,653,348,94.22,0.00
rv32ui-p-bgeu,2605,0,689,373,94.33,0.00
rv32ui-p-blt,2663,0,604,330,94.34,0.00
rv32ui-p-bltu,2720,0,640,355,94.44,0.00
rv32ui-p-bne,2701,0,617,330,94.10,0.00
rv32ui-p-fence_i,2646,0,677,335,96.03,33.33
rv32ui-p-jal,2631,0,245,94,89.19,0.00
rv32ui-p-jalr,2674,0,337,154,92.27,0.00
rv32ui-p-lb,2776,0,550,295,93.61,95.83
rv32ui-p-lbu,2689,0,550,295,93.61,95.83
rv32ui-p-ld_st,2719,0,1916,1151,93.31,99.74
rv32ui-p-lh,2772,0,853,311,93.62,0.00
rv32ui-p-lhu,2748,0,862,320,93.79,0.00
rv32ui-p-lui,2761,0,253,104,89.92,0.00
rv32ui-p-lw,2801,0,602,325,93.59,95.83
rv32ui-p-ma_data,2749,0,1070,473,92.63,0.00
rv32ui-p-or,2691,0,889,527,94.61,0.00
rv32ui-p-ori,2648,0,465,244,93.21,0.00
rv32ui-p-sb,2668,0,838,493,94.70,98.55
rv32ui-p-sh,2664,0,913,546,94.84,98.55
rv32ui-p-simple,2662,0,206,80,89.36,0.00
rv32ui-p-sll,2647,0,916,532,94.31,0.00
rv32ui-p-slli,2758,0,534,280,93.02,0.00
rv32ui-p-slt,2720,0,860,498,94.32,0.00
rv32ui-p-slti,2675,0,519,276,93.27,0.00
rv32ui-p-sltiu,2715,0,519,276,93.27,0.00
rv32ui-p-sltu,2799,0,860,498,94.32,0.00
rv32ui-p-sra,2772,0,946,551,94.32,0.00
rv32ui-p-srai,2850,0,549,295,93.35,0.00
rv32ui-p-srl,2834,0,940,545,94.26,0.00
rv32ui-p-srli,2749,0,543,289,93.23,0.00
rv32ui-p-st_ld,2786,0,957,522,92.92,98.98
rv32ui-p-sub,2853,0,847,496,94.49,0.00
rv32ui-p-sw,2753,0,931,553,94.73,98.53
rv32ui-p-xor,2694,0,877,526,94.78,0.00
rv32ui-p-xori,2708,0,467,246,93.26,0.00
