policy,test,rc,cycles,instrs,i_cache_hit_pct,d_cache_hit_pct,stall,cache_stall,hazard_stall,i_cold_miss,i_conflict_miss,i_capacity_miss,d_cold_miss,d_conflict_miss,d_capacity_miss,speedup_vs_nocache
wb_nowa,rv32ui-p-lb,0,550,295,93.61,95.83,3,252,3,17,3,0,1,0,0,6.705455
wb_nowa,rv32ui-p-lbu,0,550,295,93.61,95.83,3,252,3,17,3,0,1,0,0,6.705455
wb_nowa,rv32ui-p-ld_st,0,1928,1151,93.31,99.48,149,828,149,65,3,0,1,1,0,7.882780
wb_nowa,rv32ui-p-lh,0,853,311,93.62,0.00,3,540,3,18,3,0,1,23,0,4.529894
wb_nowa,rv32ui-p-lhu,0,862,320,93.79,0.00,3,540,3,18,3,0,1,23,0,4.597448
wb_nowa,rv32ui-p-lui,0,253,104,89.92,0.00,0,144,0,9,3,0,0,0,0,5.181818
wb_nowa,rv32ui-p-lw,0,602,325,93.59,95.83,3,276,3,19,3,0,1,0,0,6.674419
wb_nowa,rv32ui-p-ma_data,0,1070,473,92.63,0.00,54,612,54,29,3,0,2,17,0,5.383178
wb_nowa,rv32ui-p-or,0,889,527,94.61,0.00,0,360,0,27,3,0,0,0,0,6.894263
wb_nowa,rv32ui-p-ori,0,465,244,93.21,0.00,0,216,0,15,3,0,0,0,0,6.273118
wb_nowa,rv32ui-p-sb,0,850,493,94.70,97.10,0,348,0,25,3,0,1,1,0,7.647059
wb_nowa,rv32ui-p-sh,0,949,546,94.84,91.30,0,396,0,27,3,0,1,5,0,7.463646
wb_nowa,rv32ui-p-simple,0,206,80,89.36,0.00,0,120,0,7,3,0,0,0,0,5.029126
wb_nowa,rv32ui-p-sll,0,916,532,94.31,0.00,0,384,0,29,3,0,0,0,0,6.751092
wb_nowa,rv32ui-p-slli,0,534,280,93.02,0.00,0,252,0,18,3,0,0,0,0,6.204120
wb_nowa,rv32ui-p-slt,0,860,498,94.32,0.00,0,360,0,27,3,0,0,0,0,6.755814
wb_nowa,rv32ui-p-slti,0,519,276,93.27,0.00,0,240,0,17,3,0,0,0,0,6.298651
wb_nowa,rv32ui-p-sltiu,0,519,276,93.27,0.00,0,240,0,17,3,0,0,0,0,6.298651
wb_nowa,rv32ui-p-sltu,0,860,498,94.32,0.00,0,360,0,27,3,0,0,0,0,6.755814
wb_nowa,rv32ui-p-sra,0,946,551,94.32,0.00,0,396,0,30,3,0,0,0,0,6.757928
wb_nowa,rv32ui-p-srai,0,549,295,93.35,0.00,0,252,0,18,3,0,0,0,0,6.335155
wb_nowa,rv32ui-p-srl,0,940,545,94.26,0.00,0,396,0,30,3,0,0,0,0,6.730851
wb_nowa,rv32ui-p-srli,0,543,289,93.23,0.00,0,252,0,18,3,0,0,0,0,6.283610
wb_nowa,rv32ui-p-st_ld,0,969,522,92.92,97.96,0,468,0,35,3,0,1,1,0,7.109391
wb_nowa,rv32ui-p-sub,0,847,496,94.49,0.00,0,348,0,26,3,0,0,0,0,6.833530
